c498-902 stampede tacc utexas edu
Running on sampede.tacc.xsede.org
TACC: Starting up job 7716193
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
LAMMPS (10 Feb 2015)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 10 10 10
Reading data file ...
  orthogonal box = (-58.1437 -58.1437 -58.1437) to (58.1437 58.1437 58.1437)
  2 by 2 by 4 MPI processor grid
  reading atoms ...
  12288 atoms
Changing box ...
  triclinic box = (-58.1437 -58.1437 -58.1437) to (58.1437 58.1437 58.1437) with tilt (0 0 0)
Reading potential file CH.airebo with DATE: 2011-10-25
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 7
Setting up minimization ...
Memory usage per processor = 5.10815 Mbytes
Step Temp PotEng Press Pxx Pyy Pzz Pxy Pxz Pyz Lx Ly Lz Volume 
       0            0   -81505.047     22967.21     22967.21    22967.204    22967.215 -0.00060804462 0.00078930674 0.00011217677    116.28748    116.28748    116.28748    1572529.8 
     500            0   -85722.004   -20.017045   -20.017045   -20.017043   -20.017046 -0.0006050026 0.0012768814 7.1174224e-05    119.68307    119.68307    119.68308    1714344.9 
    1000            0   -89407.317   -43.589111   -43.589111   -43.589111   -43.589111 -0.0037691291 0.0038001729 8.2336423e-05    117.47843    117.47843    117.47843    1621341.2 
    1500            0   -89833.907   -53.789758   -53.789757   -53.789744   -53.789772 -0.0050242752 0.0050148042 4.9830524e-05    117.09945    117.09945    117.09945    1605700.6 
    2000            0    -89958.79   -13.847983    -13.84947   -13.563967   -14.130512 -0.0050153598  0.005008758 4.8057573e-05    116.98345    116.98336    116.98354    1600933.6 
    2500            0   -90057.846   -46.268742   -46.268742   -46.268741   -46.268743 -0.0048799533 0.0048777897 3.687544e-05     116.9166     116.9166     116.9166    1598190.6 
    3000            0   -90139.338    18.694317    18.534099    18.508698    19.040154 -0.0046953784 0.0047000199 2.6233552e-05    116.85548    116.85549    116.85532    1595683.3 
    3500            0   -90192.402    19.819939    19.726926     19.71218    20.020713 -0.0045558893 0.0045655152 1.9214638e-05    116.82904    116.82905    116.82895    1594601.5 
    4000            0   -90242.727    21.871369    21.836859    21.831581    21.945668 -0.0044281272 0.0044423202 1.2744845e-05    116.80885    116.80885    116.80882    1593775.5 
    4500            0    -90291.77    23.479425    23.420218    23.411163    23.606894 -0.0043163651 0.0043343142 6.9886785e-06    116.79375    116.79375    116.79369    1593157.1 
    5000            0   -90339.896    24.324938    24.273963    24.266167    24.434685 -0.0042207372 0.0042414175 2.1479955e-06    116.78021    116.78021    116.78016    1592603.3 
    5500            0   -90387.645    25.107102    25.061856    25.054935    25.204515 -0.0041328609 0.0041532034 6.8389234e-07     116.7684     116.7684    116.76836    1592120.1 
    6000            0   -90435.371    25.811486    25.770029    25.763688     25.90074 -0.0040496486 0.0040693957 -6.5400656e-07    116.75776    116.75777    116.75772    1591685.2 
    6500            0   -90483.367    26.455312    26.416141    26.410148    26.539648 -0.0039741817 0.0039905462 1.8686885e-07    116.74788    116.74789    116.74785    1591281.2 
    7000            0   -90531.905    27.051432    27.013412    27.007596    27.133286 -0.0039013285 0.0039138019 1.3313385e-06    116.73844    116.73844    116.73841    1590895.1 
    7500            0   -90581.259    27.608503    27.570834    27.565071    27.689603 -0.003822676 0.0038351043 -1.5218402e-06     116.7292     116.7292    116.72916    1590517.3 
    8000            0   -90631.733    28.129229     28.09133    28.085531    28.210827 -0.0037469472 0.0037589999 -3.9858213e-06       116.72       116.72    116.71997    1590141.3 
    8500            0    -90683.67     28.61312    28.574548    28.568646    28.696166 -0.0036685619 0.0036798241 -5.9539013e-06    116.71074    116.71074     116.7107    1589762.6 
    9000            0   -90737.711    31.748538    31.729649    31.726126    31.789839 -0.0035831472 0.0035934633 -7.1737732e-06    116.70133    116.70133    116.70131    1589378.4 
    9500            0   -90800.815    32.408492     32.36478     32.35765    32.503047 -0.0034762479 0.0034839161 -7.4765719e-06    116.69274    116.69274     116.6927    1589027.2 
